_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
156.08466900	-57.78413400	156.084669	-57.784134	10242032-5747028	15.025	0.073	12.495	0.029	11.276	0.023	AAA	222	111	000	2	0
156.08129000	-57.75318500	156.081290	-57.753185	10241950-5745114	14.073		13.419		13.285	0.171	UUC	002	001	000	1	0
156.09441400	-57.76425900	156.094414	-57.764259	10242265-5745513	15.111	0.084	14.497	0.147	13.617	0.138	ABB	222	111	000	1	0
156.07978500	-57.79125200	156.079785	-57.791252	10241914-5747285	15.614	0.086	15.193	0.134	14.699	0.162	ABC	222	111	ccc	2	0
156.09906600	-57.79164900	156.099066	-57.791649	10242377-5747299	15.028	0.028	14.698	0.038	14.351	0.081	AAA	222	111	000	2	0
156.09883300	-57.78630400	156.098833	-57.786304	10242371-5747106	15.375		14.954	0.141	13.979	0.101	UBA	022	011	000	2	0
156.09965700	-57.79860700	156.099657	-57.798607	10242391-5747549	15.934	0.082	15.560	0.129	15.363		ABU	220	110	000	2	0
156.08606100	-57.77082800	156.086061	-57.770828	10242065-5746149	15.302	0.088	14.653	0.157	13.071		ACU	220	110	cc0	2	0
156.09420300	-57.79596300	156.094203	-57.795963	10242260-5747454	14.766	0.028	13.485	0.031	12.838	0.045	AAA	222	111	000	2	0
156.09411900	-57.75146500	156.094119	-57.751465	10242258-5745052	15.870	0.150	14.095		13.368		BUU	200	100	c00	2	0
156.06459600	-57.76656300	156.064596	-57.766563	10241550-5745596	13.554		12.964		12.923	0.154	UUE	002	001	000	2	0
156.08556100	-57.77428100	156.085561	-57.774281	10242053-5746274	15.385		15.330	0.241	13.927		UDU	020	010	000	2	0
156.08605400	-57.76848200	156.086054	-57.768482	10242065-5746065	12.477	0.032	11.818	0.036	11.627	0.037	AAA	222	111	000	2	0
156.08099600	-57.78093300	156.080996	-57.780933	10241943-5746513	15.442	0.168	14.642	0.199	13.222	0.131	CCE	222	111	c00	2	0
156.09717600	-57.77802300	156.097176	-57.778023	10242332-5746408	13.304	0.022	12.784	0.022	12.538	0.019	AAA	222	111	000	2	0
156.09422400	-57.75857900	156.094224	-57.758579	10242261-5745308	14.786	0.060	14.659	0.062	14.554	0.112	AAB	222	111	pp0	2	0
156.09854600	-57.76184100	156.098546	-57.761841	10242365-5745426	15.820	0.157	15.226	0.193	14.780	0.254	CCD	222	111	ccc	2	0
156.09845700	-57.77086300	156.098457	-57.770863	10242362-5746151	16.085	0.129	14.760		13.705		BUU	200	100	000	2	0
156.08001100	-57.78723500	156.080011	-57.787235	10241920-5747140	13.049	0.022	12.797	0.022	12.833	0.019	AAA	222	111	000	2	0
156.08013400	-57.77979700	156.080134	-57.779797	10241923-5746472	13.747		13.223		13.091	0.122	UUB	062	002	00c	1	0
156.10681000	-57.75142300	156.106810	-57.751423	10242563-5745051	15.254	0.093	14.821	0.122	14.564	0.117	ABB	222	111	000	2	0
156.10597900	-57.75486800	156.105979	-57.754868	10242543-5745175	15.724	0.150	13.864		13.215		BUU	266	200	c00	2	0
156.11486200	-57.79157600	156.114862	-57.791576	10242756-5747296	17.223		15.823		14.995	0.152	UUB	002	001	000	2	0
156.06856400	-57.76205400	156.068564	-57.762054	10241645-5745433	14.330		13.976		14.165	0.228	UUD	002	001	000	2	0
156.06978600	-57.79031000	156.069786	-57.790310	10241674-5747251	15.596	0.068	14.906	0.060	13.354		AAU	220	110	cc0	2	0
156.11126100	-57.76226000	156.111261	-57.762260	10242670-5745441	15.291	0.057	14.854	0.080	14.413	0.166	AAC	222	111	000	2	0
156.06920400	-57.79490700	156.069204	-57.794907	10241660-5747416	14.596	0.028	14.308	0.041	14.210	0.066	AAA	222	111	000	2	0
156.07149200	-57.79993800	156.071492	-57.799938	10241715-5747597	16.135	0.116	14.729		13.412		BUU	200	100	c00	2	0
156.11049800	-57.79902300	156.110498	-57.799023	10242651-5747564	16.523	0.147	16.463		15.322		BUU	200	100	000	2	0
156.06810500	-57.79948400	156.068105	-57.799484	10241634-5747581	17.303		14.643	0.107	13.551	0.083	UAA	022	011	000	2	0
156.11197400	-57.76356900	156.111974	-57.763569	10242687-5745488	16.149	0.133	14.462		13.315		BUU	200	100	c00	2	0
156.06681200	-57.76324100	156.066812	-57.763241	10241603-5745476	14.272		13.816		13.719	0.184	UUC	002	001	000	2	0
156.07182600	-57.76347000	156.071826	-57.763470	10241723-5745484	15.645	0.143	15.208	0.257	13.118		BDU	226	220	cc0	2	0
156.11879200	-57.79789700	156.118792	-57.797897	10242851-5747524	16.427	0.140	14.600		13.606		BUU	200	100	000	2	0
156.11042600	-57.79276700	156.110426	-57.792767	10242650-5747339	15.991	0.128	15.287	0.161	14.633	0.168	BCC	222	111	000	2	0
156.11168900	-57.79075600	156.111689	-57.790756	10242680-5747267	15.152	0.039	14.716	0.060	14.276	0.105	AAA	222	111	000	2	0
156.11225800	-57.75454300	156.112258	-57.754543	10242694-5745163	15.698	0.079	14.812	0.075	14.390	0.118	AAB	222	111	000	2	0
156.11834900	-57.75355100	156.118349	-57.753551	10242840-5745127	16.357	0.143	15.621	0.138	14.726	0.126	BBB	222	111	000	2	0
156.11024900	-57.77591300	156.110249	-57.775913	10242645-5746332	16.116	0.096	14.622	0.053	13.942	0.057	AAA	222	111	000	2	0
156.11728100	-57.76225300	156.117281	-57.762253	10242814-5745441	15.733	0.062	15.229	0.121	14.731		ABU	220	110	000	2	0
156.11572300	-57.78249700	156.115723	-57.782497	10242777-5746569	15.930	0.126	15.511	0.188	13.883		BCU	220	110	000	2	0
156.07045900	-57.77722500	156.070459	-57.777225	10241691-5746380	15.515	0.097	15.132	0.116	14.822	0.216	ABC	222	111	000	2	0
156.11500800	-57.77803800	156.115008	-57.778038	10242760-5746409	15.246	0.039	14.817	0.049	14.959	0.149	AAB	222	111	000	2	0
156.11609300	-57.76899700	156.116093	-57.768997	10242786-5746083	15.532		15.738	0.150	15.342	0.214	UBC	022	011	000	2	0
156.11833800	-57.77703500	156.118338	-57.777035	10242840-5746373	14.649	0.022	14.174	0.022	14.292	0.080	AAA	222	111	000	2	0
156.11783000	-57.77298000	156.117830	-57.772980	10242827-5746227	16.375	0.137	15.551	0.114	14.665		BBU	220	110	000	2	0
156.11231000	-57.79533400	156.112310	-57.795334	10242695-5747432	16.314	0.119	16.517		15.583		BUU	200	100	000	2	0
156.07029900	-57.76911500	156.070299	-57.769115	10241687-5746088	14.858	0.024	14.254	0.022	13.900	0.060	AAA	222	111	000	2	0
156.09233000	-57.78616000	156.092330	-57.786160	10242215-5747101	13.959	0.051	13.423	0.077	13.080	0.081	AAA	222	111	000	2	0
156.07146300	-57.76514800	156.071463	-57.765148	10241715-5745545	14.164	0.080	13.962	0.124	13.396	0.145	ABB	222	111	000	2	0
156.07007000	-57.78926100	156.070070	-57.789261	10241681-5747213	13.563	0.045	12.916	0.051	12.524	0.021	EEE	222	111	000	2	0
156.12076700	-57.76640700	156.120767	-57.766407	10242898-5745590	16.191	0.155	15.453	0.153	15.083	0.162	BBC	222	111	000	2	0
156.07105300	-57.78253200	156.071053	-57.782532	10241705-5746571	14.432		13.815		13.535	0.178	UUC	002	001	000	2	0
156.12084800	-57.76989400	156.120848	-57.769894	10242900-5746116	15.944	0.120	15.373	0.128	14.409		BBU	220	110	000	2	0
156.07269800	-57.75957900	156.072698	-57.759579	10241744-5745344	15.882	0.233	13.961		12.870		DUU	200	100	c00	2	0
156.10816700	-57.75285000	156.108167	-57.752850	10242596-5745102	14.497		14.839	0.129	13.463	0.073	UBA	022	011	000	2	0
156.10857100	-57.77061800	156.108571	-57.770618	10242605-5746142	15.382	0.096	15.200	0.145	14.814	0.149	ABB	222	111	000	2	0
156.09172600	-57.75064500	156.091726	-57.750645	10242201-5745023	16.442	0.178	14.557		13.672		CUU	200	100	p00	2	0
156.12141600	-57.79341100	156.121416	-57.793411	10242913-5747362	16.644	0.154	15.761	0.141	14.769		CBU	220	110	000	2	0
156.07320200	-57.76266500	156.073202	-57.762665	10241756-5745455	14.954	0.073	14.779	0.077	13.430		AAU	226	220	cc0	2	0
156.10852000	-57.76459500	156.108520	-57.764595	10242604-5745525	13.919	0.023	13.534	0.022	13.376	0.038	AAE	222	111	000	2	0
156.06533400	-57.75333400	156.065334	-57.753334	10241568-5745120	15.730	0.182	13.758		13.846	0.162	CUC	202	101	000	2	0
156.07357500	-57.75312000	156.073575	-57.753120	10241765-5745112	15.577	0.093	14.908	0.086	14.647	0.184	AAC	222	111	ccc	2	0
156.12170000	-57.75687000	156.121700	-57.756870	10242920-5745247	15.092	0.032	14.485	0.022	14.783	0.135	AAB	222	111	000	2	0
